Vehicle,Route,OnwardReturn,TripStart,TripEnd,TotalDistance,DurationMinutes,AverageSpeed,ActualGPSDistance,GPSShortestDistance,GPSExtraDistance,GPSDeviationScore,RouteOutlier,TimeOutlier,GPSPatternOutlier,ShortestPathOutlier,RiskScore,RiskLevel,SuggestedPath,Reasons
AP39U9519,"BAYYAVARAM -> BHANJANAGAR",ONWARD,2026-03-28T05:37,2026-03-28T23:41,94.89999999999999,283,20.12014134275618,74.7749057181927,0.0,0.0,52.31516049237312,false,false,true,false,24.58440638108162,LOW,"NO VALID GPS PATH FOUND","[GPS movement pattern deviated from normal route behavior by 52.32%.]"
AP39U9629,"BAYYAVARAM -> BALUGAON",ONWARD,2026-03-26T00:59,2026-03-26T22:55,136.20000000000002,366,22.32786885245902,124.86101631889686,0.0,0.0,53.72455914647435,false,false,true,false,21.612744230071762,LOW,"NO VALID GPS PATH FOUND","[GPS movement pattern deviated from normal route behavior by 53.72%.]"
AP39U9649,"BAYYAVARAM -> BALUGAON GANJAM",ONWARD,2026-03-17T04:56,2026-03-18T00:25,264.49999999999994,598,26.538461538461533,215.7542828132762,123.03939615874444,92.71488665453177,0.0,true,false,false,true,21.486221604873435,LOW,"BahinipatiKerada, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Dhanunjayapuram, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Surammapeta, Vizianagaram, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, S. Burjavalasa, Vizianagaram, Andhra Pradesh -> National Highway 26, Vizianagaram, Andhra Pradesh -> Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh","[Vehicle traveled 92.71 km more than the learned shortest GPS path.]"
AP39U9629,"BAYYAVARAM -> BHANJANAGAR",ONWARD,2026-03-18T05:36,2026-03-19T00:38,334.79999999999995,662,30.344410876132926,301.6218616991543,300.4798248381578,1.142036860996484,43.00031098874465,true,false,true,false,19.078504166839394,LOW,"SAGAR CEMENTS LIMITED BAYAVARRAM -> Vizag - Srikakulam Highway, Natavalasa, Vizianagaram, Andhra Pradesh -> Vizag - Srikakulam Highway, Arinam Akkivalasa, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Kesaripada, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Karapadu, Srikakulam, Andhra Pradesh -> Asika - Berhampur Road, Asika, Ganjam, Odisha","[GPS movement pattern deviated from normal route behavior by 43.00%.]"
AP39U9519,"BAYYAVARAM -> PEDAGANTYADA (U)",ONWARD,2026-03-27T07:10,2026-03-27T16:22,61.99999999999999,213,17.464788732394364,54.64743103146931,48.0903826572356,6.557048374233709,3.8266082727358652,true,true,false,false,18.70294940079225,LOW,"Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh -> PST BUNK OFFICE - BAYYAVARAM","[Trip duration was higher than the normal duration for this route.]"
AP39U9629,"BAYYAVARAM -> DEVARAPALLE",ONWARD,2026-03-07T03:47,2026-03-07T18:52,254.3,506,30.15415019762846,220.5056351832222,201.57215322685408,18.933481956368126,36.57433558501924,true,false,true,false,18.423392259819813,LOW,"Gunupur Bypass Road, Gunupur, Rayagada, Odisha -> Netaji Nagar, Gunupur, Rayagada, Odisha -> State Highway 4, Gunupur, Rayagada, Odisha -> State Highway 4, Rayagada, Odisha -> Palakonda - Kothuru Road, Haddubhangi, Srikakulam, Andhra Pradesh -> Calingapatnam Srikakulam Parvathipuram Road, Palakonda, Srikakulam, Andhra Pradesh -> PST BUNK OFFICE - BAYYAVARAM -> SAGAR CEMENTS LIMITED BAYAVARRAM","[GPS movement pattern deviated from normal route behavior by 36.57%.]"
AP39U9519,"BAYYAVARAM -> BHANJANAGAR",ONWARD,2026-03-07T03:35,2026-03-08T00:24,218.6,556,23.589928057553955,196.7464852210072,195.919551106528,0.8269341144792008,51.193873639355964,false,false,true,false,17.396013305326342,LOW,"Anakapalle Bypass, Venkupalem, Vishakhapatnam, Andhra Pradesh -> Kasimkota Bangarumetta Road, Kothuru Village, Anakapalle, Vishakhapatnam, Andhra Pradesh -> Anakapalli Sabbavaram Road, Gali Bhimavaram, Vishakhapatnam, Andhra Pradesh -> Vizianagaram - Simhachalam Main Road, Sontyam, Vishakhapatnam, Andhra Pradesh -> Vizag - Srikakulam Highway, Vizianagaram, Andhra Pradesh -> Vizag - Srikakulam Highway, G.Chodavaram, Kovvada Agraharam, Srikakulam, Andhra Pradesh -> Srikakulam-Narasannapeta Road, Srikakulam, Andhra Pradesh -> Srikakulam-Narasannapeta Road, Madapam, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Venkatapuram, Srikakulam, Andhra Pradesh","[GPS movement pattern deviated from normal route behavior by 51.19%.]"
AP39U9649,"BAYYAVARAM -> DEVARAPALLE",ONWARD,2026-03-11T00:55,2026-03-11T23:58,91.60000000000002,368,14.934782608695654,58.6289911800395,0.0,0.0,36.598018470104726,false,false,true,false,14.137300277873521,LOW,"NO VALID GPS PATH FOUND","[GPS movement pattern deviated from normal route behavior by 36.60%.]"
AP39U9519,"BAYYAVARAM -> BISAM-CUTTACK",ONWARD,2026-03-01T14:20,2026-03-02T10:08,284.0,696,24.482758620689655,218.97562150319072,218.57409952353552,0.4015219796552003,9.507419943899814,false,false,false,false,0.0,NORMAL,"PST BUNK OFFICE - BAYYAVARAM -> SAGAR CEMENTS LIMITED BAYAVARRAM -> Rayagada-Bhawanipatna Road, Bissamcuttack, Rayagada, Odisha","[]"
AP39U9529,"BAYYAVARAM -> BHANJANAGAR",ONWARD,2026-03-03T07:07,2026-03-04T00:26,214.6,476,27.050420168067227,195.88325021446758,195.4107576507475,0.472492563720067,20.060265621051066,false,false,false,false,0.0,NORMAL,"SAGAR CEMENTS LIMITED BAYAVARRAM -> PST BUNK OFFICE - BAYYAVARAM -> Srikakulam - Ichchapuram Highway, Venkatapuram, Srikakulam, Andhra Pradesh","[]"
AP39U9519,"BAYYAVARAM -> KALYAN SINGHPUR",ONWARD,2026-03-03T02:44,2026-03-04T07:12,358.8,759,28.363636363636363,296.89731895989746,290.2449161767469,6.652402783150535,0.0,false,false,false,false,0.0,NORMAL,"Raipur - Jagdalpur - Vishakhapatnam road, Bodametlapalem, Vizianagaram, Andhra Pradesh -> PST BUNK OFFICE - BAYYAVARAM -> Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh -> Lanjigarh-KSingpur Road, Adabadi, Rayagada, Odisha","[]"
AP39U9649,"BAYYAVARAM -> BERHAMPUR",ONWARD,2026-03-04T06:55,2026-03-04T23:49,275.1,622,26.536977491961416,205.93587262396795,215.38192363052337,-9.446051006555422,19.39896719974444,false,false,false,false,0.0,NORMAL,"Badaraising, Seskhal, Rayagada, Odisha -> Rayagada-Bhawanipatna Road, Jaykaypur, Rayagada, Odisha -> Nuachaitalguda, Seskhal, Rayagada, Odisha -> Raipur - Jagdalpur - Vishakhapatnam road, Busayavalasa, Vizianagaram, Andhra Pradesh -> National Highway 26, Vizianagaram, Andhra Pradesh -> SAGAR CEMENTS LIMITED BAYAVARRAM","[]"
AP39U9629,"BAYYAVARAM -> GUNUPUR",ONWARD,2026-03-05T04:48,2026-03-05T23:16,236.70000000000002,493,28.807302231237323,200.5374105795137,181.5963597105606,18.941050868953113,0.0,false,false,false,false,0.0,NORMAL,"Rayagada-Bhawanipatna Road, Kasturi Nagar, Rayagada, Rayagada, Odisha -> BahinipatiKerada, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Sitanagaram, Vizianagaram, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, Marrivalasa, Vizianagaram, Andhra Pradesh -> PST BUNK OFFICE - BAYYAVARAM -> SAGAR CEMENTS LIMITED BAYAVARRAM","[]"
AP39U9649,"BAYYAVARAM -> RAYAGADDA",ONWARD,2026-03-07T02:58,2026-03-07T23:52,238.79999999999998,558,25.677419354838705,192.77538232769575,183.2180252268314,9.557357100864351,23.95883234214188,false,false,false,false,0.0,NORMAL,"SAGAR CEMENTS LIMITED BAYAVARRAM -> PST BUNK OFFICE - BAYYAVARAM -> Raipur - Jagdalpur - Vishakhapatnam road, Marrivalasa, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Sitanagaram, Vizianagaram, Andhra Pradesh -> BahinipatiKerada, Vizianagaram, Andhra Pradesh -> Rayagada-Bhawanipatna Road, Kasturi Nagar, Rayagada, Rayagada, Odisha -> Collectorate Road, Indira Nagar, Rayagada, Rayagada, Odisha","[]"
AP39U9529,"BAYYAVARAM -> TEKKALI",ONWARD,2026-03-07T16:18,2026-03-07T21:38,4.5,45,6.0,2.810339392736425,2.5466561111673887,0.2636832815690364,0.0,false,false,false,false,0.0,NORMAL,"Anakapalle Bypass, Sampathipuram, Vishakhapatnam, Andhra Pradesh -> SAGAR CEMENTS LIMITED BAYAVARRAM","[]"
